PyIndex,Year,University,State,List_Tuition,Rank,Private,CPI,Southern,Lag_APGAF,Lag_AFSLAF,Lag_Applicants,MPGA,MUFSLA,Key
117,2013,Tufts University,MA,46598.00,28,1,233,0,4281,4169,18419,5820,3500,Tufts University 2013
118,2013,University of Michigan-Ann Arbor,MI,13142.00,29,0,233,0,4294,5603,46813,5820,3500,University of Michigan-Ann Arbor 2013
119,2013,University of North Carolina at Chapel Hill,NC,8340.00,30,0,233,1,4178,4509,28437,5820,3500,University of North Carolina at Chapel Hill 2013
120,2012,Princeton University,NJ,39537.00,1,1,229.6,0,3745,4001,26664,5830,3500,Princeton University 2012
121,2012,Harvard University,MA,39966.00,1,1,229.6,0,4269,4237,34216,5830,3500,Harvard University 2012
122,2012,Yale University,CT,42300.00,3,1,229.6,0,4072,4887,27283,5830,3500,Yale University 2012
123,2012,Columbia University in the City of New York,NY,47246.00,4,1,229.6,0,4365,5758,34810,5830,3500,Columbia University in the City of New York 2012
124,2012,University of Chicago,IL,45609.00,5,1,229.6,0,4263,4708,25271,5830,3500,University of Chicago 2012
125,2012,Stanford University,CA,42225.00,5,1,229.6,0,4281,5128,36632,5830,3500,Stanford University 2012
126,2012,Massachusetts Institute of Technology,MA,42050.00,5,1,229.6,0,4267,6205,18109,5830,3500,Massachusetts Institute of Technology 2012
127,2012,University of Pennsylvania,PA,43738.00,5,1,229.6,0,4227,4875,31218,5830,3500,University of Pennsylvania 2012
128,2012,Duke University,NC,43623.00,10,1,229.6,1,3994,3899,28145,5830,3500,Duke University 2012
129,2012,California Institute of Technology,CA,39588.00,5,1,229.6,0,4550,4477,5225,5830,3500,California Institute of Technology 2012
130,2012,Dartmouth College,NH,45042.00,11,1,229.6,0,3994,4528,22385,5830,3500,Dartmouth College 2012
131,2012,Johns Hopkins University,MD,43390.00,13,1,229.6,1,4084,4459,21313,5830,3500,Johns Hopkins University 2012
132,2012,Northwestern University,IL,43779.00,12,1,229.6,0,4212,4936,30926,5830,3500,Northwestern University 2012
133,2012,Brown University,RI,43758.00,15,1,229.6,0,4282,5261,28742,5830,3500,Brown University 2012
134,2012,Cornell University,NY,43413.00,15,1,229.6,0,4131,4200,37808,5830,3500,Cornell University 2012
135,2012,Washington University in St Louis,MO,43705.00,14,1,229.6,0,3562,5607,27265,5830,3500,Washington University in St Louis 2012
136,2012,Vanderbilt University,TN,42118.00,17,1,229.6,0,3796,5176,28348,5830,3500,Vanderbilt University 2012
137,2012,Rice University,TX,37292.00,17,1,229.6,0,4247,4441,15133,5830,3500,Rice University 2012
138,2012,University of Notre Dame,IN,42971.00,19,1,229.6,0,3924,4807,16957,5830,3500,University of Notre Dame 2012
139,2012,Emory University,GA,42980.00,20,1,229.6,1,4301,5154,17021,5830,3500,Emory University 2012
140,2012,University of California-Berkeley,CA,12874.00,21,0,229.6,0,4551,5008,52982,5830,3500,University of California-Berkeley 2012
141,2012,Georgetown University,DC,42870.00,22,1,229.6,0,4280,3842,19254,5830,3500,Georgetown University 2012
142,2012,University of Southern California,CA,44463.00,23,1,229.6,0,4364,5331,46104,5830,3500,University of Southern California 2012
143,2012,University of California-Los Angeles,CA,12692.00,25,0,229.6,0,4387,5736,61556,5830,3500,University of California-Los Angeles 2012
144,2012,Carnegie Mellon University,PA,45760.00,23,1,229.6,0,4183,6198,17313,5830,3500,Carnegie Mellon University 2012
145,2012,University of Virginia-Main Campus,VA,12216.00,25,0,229.6,1,4137,6099,27178,5830,3500,University of Virginia-Main Campus 2012
146,2012,Wake Forest University,NC,43200.00,25,1,229.6,1,3845,5907,11407,5830,3500,Wake Forest University 2012
147,2012,Tufts University,MA,44666.00,29,1,229.6,0,4362,4229,16378,5830,3500,Tufts University 2012
148,2012,University of Michigan-Ann Arbor,MI,12994.00,28,0,229.6,0,4147,5638,42544,5830,3500,University of Michigan-Ann Arbor 2012
149,2012,University of North Carolina at Chapel Hill,NC,7693.00,29,0,229.6,1,4211,5003,22652,5830,3500,University of North Carolina at Chapel Hill 2012
150,2011,Princeton University,NJ,37865.00,2,1,224.9,0,3941,4242,27189,5910,3500,Princeton University 2011
151,2011,Harvard University,MA,39851.00,1,1,224.9,0,4264,4531,34950,5910,3500,Harvard University 2011
152,2011,Yale University,CT,40500.00,3,1,224.9,0,4255,4591,25869,5910,3500,Yale University 2011
153,2011,Columbia University in the City of New York,NY,45290.00,4,1,224.9,0,4318,5551,26179,5910,3500,Columbia University in the City of New York 2011
154,2011,University of Chicago,IL,43780.00,9,1,224.9,0,4265,4972,21762,5910,3500,University of Chicago 2011
